Region,Brainspan_region
Cingulate Cortex,anterior (rostral) cingulate (medial prefrontal) cortex
Frontal Cortex,dorsolateral prefrontal cortex
Hippocampus (anterior),hippocampus (hippocampal formation)
Hippocampus (posterior),hippocampus (hippocampal formation)
Hypothalamus,
Insular Cortex/Claustrum,
Motor Cortex,"primary motor cortex (area M1, area 4)"
Occipital Cortex,
Parietal Cortex,posteroventral (inferior) parietal cortex
Pia mater (medial),
Pia mater (posterior),
Pia mater (anterior),
Primary Visual Cortex,"primary visual cortex (striate cortex, area V1/17)"
Somatosensory Cortex,"primary somatosensory cortex (area S1, areas 3,1,2)"
Striatum,striatum
Thalamus (anterior),
Thalamus (medial),mediodorsal nucleus of thalamus
Thalamus (posterior),
